index,baseline,baseline,interaction_fx_stress,interaction_fx_stress,interaction_high_inflation,interaction_high_inflation,interaction_tight_policy,interaction_tight_policy,subsample_fx_stress,subsample_fx_stress,subsample_high_inflation,subsample_high_inflation,subsample_tight_policy,subsample_tight_policy
,bist,gold,bist,gold,bist,gold,bist,gold,bist,gold,bist,gold,bist,gold
const,"0.002***
(0.001)","0.001***
(0.0)","0.002***
(0.001)","0.001***
(0.0)","0.001**
(0.001)","0.001***
(0.0)","0.002***
(0.001)","0.001**
(0.0)","0.009**
(0.004)","-0.001
(0.001)","0.001
(0.001)","0.001**
(0.0)","0.0
(0.001)","0.002***
(0.0)"
usdtry_ret,"-0.009
(0.053)","0.958***
(0.022)","-0.048
(0.061)","0.942***
(0.026)","-0.003
(0.055)","0.958***
(0.023)","-0.024
(0.056)","0.962***
(0.024)","0.032
(0.071)","1.072***
(0.043)","-0.101
(0.137)","0.959***
(0.055)","0.063
(0.18)","0.928***
(0.062)"
usdtry_x_high_inflation,,,,,"-0.066
(0.149)","-0.016
(0.06)",,,,,,,,
usdtry_x_fx_stress,,,"0.221**
(0.09)","0.094***
(0.034)",,,,,,,,,,
usdtry_x_tight_policy,,,,,,,"0.183
(0.215)","-0.044
(0.063)",,,,,,
cds5y_change,"-0.0***
(0.0)","-0.0*
(0.0)","-0.0***
(0.0)","-0.0**
(0.0)","-0.0***
(0.0)","-0.0*
(0.0)","-0.0***
(0.0)","-0.0**
(0.0)","-0.0***
(0.0)","-0.0*
(0.0)","-0.0***
(0.0)","-0.0***
(0.0)","-0.0***
(0.0)","-0.0
(0.0)"
bond2y_change_bps,"-0.0*
(0.0)","-0.0
(0.0)","-0.0*
(0.0)","-0.0
(0.0)","-0.0*
(0.0)","-0.0
(0.0)","-0.0*
(0.0)","-0.0
(0.0)","-0.0
(0.0)","-0.0
(0.0)","-0.0***
(0.0)","0.0
(0.0)","-0.0***
(0.0)","-0.0
(0.0)"
fx_vol_5d,"-0.085
(0.078)","-0.056***
(0.018)","-0.096
(0.088)","-0.057***
(0.019)","-0.074
(0.081)","-0.06***
(0.02)","-0.099
(0.082)","-0.046**
(0.018)","-0.26**
(0.109)","-0.019
(0.034)","0.228
(0.186)","-0.079
(0.057)","0.326
(0.21)","-0.091
(0.07)"
bist_ret_l1,"-0.013
(0.025)",,"-0.013
(0.025)",,"-0.013
(0.025)",,"-0.013
(0.025)",,"-0.118
(0.08)",,"-0.026
(0.041)",,"-0.02
(0.044)",
gold_ret_l1,,"-0.007
(0.015)",,"-0.01
(0.015)",,"-0.008
(0.015)",,"-0.008
(0.015)",,"0.029
(0.04)",,"-0.026
(0.029)",,"-0.049
(0.036)"
N,1889,1889,1889,1889,1889,1889,1889,1889,35,35,722,722,636,636
R_squared,0.117,0.574,0.121,0.575,0.118,0.574,0.119,0.574,0.257,0.973,0.065,0.23,0.106,0.206
